"Group","Metrics","Value"
"Velocity","Velocity(Story Point)","7.0"
"Velocity","Throughput(Cards Count)","3"
"Cycle time","Average cycle time(days/storyPoint)","0.45"
"Cycle time","Average cycle time(days/card)","1.05"
"Cycle time","Total development time / Total cycle time(%)","96.82"
"Cycle time","Total review time / Total cycle time(%)","1.59"
"Cycle time","Total waiting for testing time / Total cycle time(%)","1.59"
"Cycle time","Average development time(days/storyPoint)","0.43"
"Cycle time","Average development time(days/card)","1.01"
"Cycle time","Average review time(days/storyPoint)","0.01"
"Cycle time","Average review time(days/card)","0.02"
"Cycle time","Average waiting for testing time(days/storyPoint)","0.01"
"Cycle time","Average waiting for testing time(days/card)","0.02"
"Classifications","Story point estimate / 2.0(Value/Cards count%)","66.67"
"Classifications","Story point estimate / 2.0(Value/Story point%)","57.14"
"Classifications","Story point estimate / 3.0(Value/Cards count%)","33.33"
"Classifications","Story point estimate / 3.0(Value/Story point%)","42.86"
"Classifications","Issue Type / Task(Value/Cards count%)","100.00"
"Classifications","Issue Type / Task(Value/Story point%)","100.00"
"Classifications","Parent / None(Value/Cards count%)","100.00"
"Classifications","Parent / None(Value/Story point%)","100.00"
"Classifications","Design / None(Value/Cards count%)","100.00"
"Classifications","Design / None(Value/Story point%)","100.00"
"Classifications","story point / None(Value/Cards count%)","100.00"
"Classifications","story point / None(Value/Story point%)","100.00"
"Classifications","Project / status-test(Value/Cards count%)","100.00"
"Classifications","Project / status-test(Value/Story point%)","100.00"
"Classifications","Flagged / None(Value/Cards count%)","100.00"
"Classifications","Flagged / None(Value/Story point%)","100.00"
"Classifications","Reporter / heartbeat user(Value/Cards count%)","100.00"
"Classifications","Reporter / heartbeat user(Value/Story point%)","100.00"
"Classifications","Assignee / heartbeat user(Value/Cards count%)","33.33"
"Classifications","Assignee / heartbeat user(Value/Story point%)","28.57"
"Classifications","Assignee / Chao Wang(Value/Cards count%)","33.33"
"Classifications","Assignee / Chao Wang(Value/Story point%)","28.57"
"Classifications","Assignee / Junbo Dai(Value/Cards count%)","33.33"
"Classifications","Assignee / Junbo Dai(Value/Story point%)","42.86"
"Classifications","Labels / None(Value/Cards count%)","100.00"
"Classifications","Labels / None(Value/Story point%)","100.00"
