"Group","Metrics","Value"
"Velocity","Velocity(Story Point)","4.0"
"Velocity","Throughput(Cards Count)","2"
"Cycle time","Average cycle time(days/storyPoint)","0.49"
"Cycle time","Average cycle time(days/card)","0.99"
"Cycle time","Total  time / Total cycle time","2.54"
"Cycle time","Total development time / Total cycle time","97.46"
"Cycle time","Total review time / Total cycle time","0"
"Cycle time","Average  time(days/storyPoint)","0.01"
"Cycle time","Average  time(days/card)","0.03"
"Cycle time","Average development time(days/storyPoint)","0.48"
"Cycle time","Average development time(days/card)","0.96"
"Cycle time","Average review time(days/storyPoint)","0"
"Cycle time","Average review time(days/card)","0"
"Classifications","Story point estimate / 2.0","100.00"
"Classifications","Issue Type / Task","100.00"
"Classifications","Parent / None","100.00"
"Classifications","Design / None","100.00"
"Classifications","story point / None","100.00"
"Classifications","Project / status-test","100.00"
"Classifications","Flagged / None","100.00"
"Classifications","Reporter / heartbeat user","100.00"
"Classifications","Assignee / heartbeat user","50.00"
"Classifications","Assignee / Chao Wang","50.00"
"Classifications","Labels / None","100.00"
"Rework","Total rework times","1"
"Rework","Total rework cards","1"
"Rework","Rework cards ratio(Total rework cards/Throughput)","50.0"
"Deployment frequency","Heartbeat / Deploy prod / Deployment frequency(Deployments/Day)","1.00"
"Lead time for changes","Heartbeat / Deploy prod / PR Lead Time","4.64"
"Lead time for changes","Heartbeat / Deploy prod / Pipeline Lead Time","1.50"
"Lead time for changes","Heartbeat / Deploy prod / Total Lead Time","6.14"
"Dev change failure rate","Heartbeat / Deploy prod / Dev change failure rate","20.00"
"Dev mean time to recovery","Heartbeat / Deploy prod / Dev mean time to recovery","1.52"
